Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Santa Fe,820251700,E.E.S. ORIENTADA PART. INC. NRO 8032 SANTA ROSA,Privado,Urbano,BELGRANO 871 CENTRO I,S2600,3462,421335,29/10/1976,1504,"$  30.080,00","$  30.080,00",4
Santa Fe,820105500,ESCUELA PART. INC. NRO 1043 SAN JOSE,Privado,Urbano,ESTANISLAO LOPEZ 85 CENTRO,S2322,3493,420218,21/05/1973,2387,"$  47.740,00","$  47.740,00",8
Entre Ríos,300013800,BLANCO ENCALADA 13,Estatal,Urbano,EVA PERON 651,E3164,343,4901036,06/08/1983,4453,"$  89.060,00","$  89.060,00",6
Chubut,260075100,COLEGIO Nº 7722,Estatal,Urbano,Pasteur 1230 Buenos Aires Comparte edificio con la Escuela Nº 8,9200,2945,453912,31/07/1961,3704,"$  74.080,00","$  74.080,00",8
San Juan,700006600,JUAN JOSÉ DE VERTIZ,Estatal,Rural,PRINCIPAL S/N,J5467,264,4302147,09/07/1965,4659,"$  93.180,00","$  102.498,00",10
Buenos Aires,60044200,ESCUELA DE EDUCACIÓN PRIMARIA Nº22 JOSÉ HERNANDEZ,Estatal,Urbano,LUJAN ESQ. RAUCH S/N,7220,2271,44-3361,18/02/1992,2862,"$  57.240,00","$  57.240,00",5
Tucumán,900219900,ESC. AGROTECNICA LOS PIZARROS,Estatal,Rural,2 DE ABRIL S/N   2 DE ABRIL Y PJE. MARIA AUXILIADORA,4162,381,,30/08/1985,2910,"$  58.200,00","$  64.020,00",9
Buenos Aires,60397800,ESCUELA DE ADULTOS Nº707,Estatal,Urbano,G.MISTRAL E/ ZAMORA Y CONSTITUCION 312,1832,11,4202-0357,28/10/1973,4539,"$  90.780,00","$  90.780,00",6
Chubut,260062200,COLEGIO PADRE LUCIO SABATTI,Estatal,Urbano,25 de Mayo 4681 INTA,U9100,280,154673866,06/04/1951,3875,"$  77.500,00","$  77.500,00",9
Buenos Aires,60074200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1,Estatal,Rural,AVELLANEDA Y PELLEGRINI S/N,6743,2352,49-3055,28/11/1964,1851,"$  37.020,00","$  40.722,00",7
Formosa,340081407,JIN Nº 11 ESTRELLITA DE BELEN - EPEP Nº 530,Estatal,Urbano,AV. CARLOS SORRENTO CRITELLI  SAN BLAS LAGUNA BLANCA,P3613,,,28/07/1983,3181,"$  63.620,00","$  63.620,00",3
Chubut,260083000,JARDIN MATERNO INFANTIL APRENDIJUEGOS Nº 1479,Privado,Urbano,AVENIDA ROCA 965,9000,297,4483107/0297,03/07/1959,1950,"$  39.000,00","$  39.000,00",4
Entre Ríos,300016500,SANTIAGO DE CHILE 18,Estatal,Rural,COLONIA OFICIAL 5   GRAL CAMPOS,E3216,,,21/06/1982,2943,"$  58.860,00","$  64.746,00",8
Buenos Aires,60333600,ESCUELA ESPECIAL Nº502 MERCEDES DE SAN MARTIN,Estatal,Urbano,CASTELLI E/CANAVESIO Y MORENO 223  Barrio Padres Gonzalez,6000,2362,43-4288,15/12/1970,3215,"$  64.300,00","$  64.300,00",8
Chaco,220012003,E.E.P. Nº 801 -HUGO ANGEL CORONEL-,Estatal,Rural,LOTE 33   PARAJE EL ARENAL,,3644,507278,11/05/1984,4328,"$  86.560,00","$  95.216,00",5
Santa Fe,820323501,C.E.R. NRO 265 BRIGADIER GENERAL JUAN GREGORIO LAS HERAS,Estatal,Rural,PARAJE LAS HIGUERITAS,S3013,3404,420418,24/04/1956,4749,"$  94.980,00","$  104.478,00",8
Mendoza,500193202,ESCUELA NEWTON,Privado,Urbano,Paul Groussac 1153,5501,261,4204647/5240831,19/10/1974,1598,"$  31.960,00","$  31.960,00",4
Chubut,260050805,ESCUELA DE NIVEL INICIAL MUNICIPAL Nº 2404,Estatal,Urbano,Ceferino Namuncurá 354 Área 12,U9103,280,4482513,15/05/1949,3350,"$  67.000,00","$  67.000,00",3
Entre Ríos,300154300,JOSE MARIA SOBRAL TECNICA 1,Estatal,Urbano,SAN MARTIN 1067,E2820,3446,424123,26/04/1994,2588,"$  51.760,00","$  51.760,00",10
Mendoza,500021200,FRAY CAYETANO JOSE RODRIGUEZ,Estatal,Rural,BAJO LAS CUMBRES S/N   FINCA CARTELLONE - BAJO LAS CUMBRES S/N,M5509,261,153845538,07/06/1982,1582,"$  31.640,00","$  34.804,00",9
Chaco,220015100,U.E.G.P. Nº15(U.E.P. Nº15)INSTITUTO PRIVADO CHACO,Privado,Urbano,RAUL B.DIAZ 150,H3500,362,4440144,04/11/1981,4472,"$  89.440,00","$  89.440,00",6
Formosa,340101002,CBSR EPEP Nº 509,Estatal,Urbano,LOTE 47 LOTE 47 - LAS LOMITAS,P3630,,,13/01/1993,2429,"$  48.580,00","$  48.580,00",6
Santa Fe,820055003,NUCLEO III - JARDIN DE INFANTES NUCLEADO NRO 159,Estatal,Urbano,FREYRE 480 SARMIENTO,S3560,3482,423408,18/07/1951,2130,"$  42.600,00","$  42.600,00",8
Buenos Aires,60274600,INSTITUTO SANTA CLARA DE ASIS,Privado,Urbano,SALADO E/ ALVARELLOS Y AV. CRISTIANIA 65  SAN ALBERTO,1765,11,4694-9910,21/02/1963,2146,"$  42.920,00","$  42.920,00",10
Corrientes,180021000,INSTITUTO VUELTA DEL OMBU I-38,Privado,Urbano,AV.CIRCUNVALACION SUR Y RUTA NAC.Nº 14,W3342,3756,482442/481064,22/09/1977,2144,"$  42.880,00","$  42.880,00",3
Entre Ríos,300054200,EJERCITO ARGENTINO 59,Estatal,Rural,DISTRITO SAUCE AL NORTE,E3174,0,0,26/07/1966,2378,"$  47.560,00","$  52.316,00",10
Mendoza,500077301,PEDRO IGNACIO ANZORENA,Estatal,Urbano,Jardín Aeroparque,5539,261,0,16/08/1966,2773,"$  55.460,00","$  55.460,00",6
Corrientes,180074900,ESCUELA PRIMARIA P/ADOLESC.Y ADULTOS Nº 26 MANUEL BELGRANO,Estatal,Urbano,BUENOS AIRES 1066,W3432,-3777,381907,02/05/1969,3082,"$  61.640,00","$  61.640,00",10
Ciudad de Buenos Aires,20036800,ESCUELA DEL PARQUE,Privado,Urbano,BOGOTA 123 CABALLITO,C1405,11,4958-6100,08/02/1992,2734,"$  54.680,00","$  54.680,00",3
Tucumán,900220600,ESC. ESPECIAL A.L.P.I.,Estatal,Urbano,DELFIN GALLO 950  MISMA MANZANA QUE EL HOSPITAL AVELLANEDA,4000,,,22/09/1960,2061,"$  41.220,00","$  41.220,00",3
Santa Fe,820168300,E.E.M.P.A. NRO 1207 8 de Septiembre,Estatal,Urbano,URUGUAY 1262 DOMINGO MATHEU,S2000,341,4729725,27/07/1972,3814,"$  76.280,00","$  76.280,00",9
Tucumán,900066600,ESC. RICARDO ROJAS,Estatal,Rural,CAMINO VECINAL S/Nº   1 KM AL SUR DE RUTA Nº 323 Y CAPILLA VIRGEN DESATANUDOS,T4111,,,22/02/1995,4521,"$  90.420,00","$  99.462,00",5
Ciudad de Buenos Aires,20125300,ESC. TEC. Nº 37 HOGAR NAVAL STELLA MARIS DE 11,Estatal,Urbano,PERGAMINO 211 FLORESTA,C1406,11,4612-3220,19/03/1957,4880,"$  97.600,00","$  97.600,00",6
Chaco,220012700,E.E.P. Nº  208,Estatal,Rural,LOTE 221-PJE.PPA.ALSINA-COL.GRAL.NECOCHEA,H3718,3644,380921,07/03/1967,4770,"$  95.400,00","$  104.940,00",9
Río Negro,620027300,ESCUELA PRIMARIA NRO.226 RUCA PUÑEÑ,Estatal,Urbano,RUTA NACIONAL 250 KM. 271   CUI 074,R8363,2946,497107,13/03/1990,4382,"$  87.640,00","$  87.640,00",8
Córdoba,140106800,I.P.E.T. Nº 106 REMEDIOS ESCALADA DE SAN MARTIN,Estatal,Urbano,MALVINAS ARGENTINAS  MARIA AUXILIADORA SERREZUELA,X5270,3549,492070,14/11/1959,2175,"$  43.500,00","$  43.500,00",5
Ciudad de Buenos Aires,20037100,ESTEBAN DE LUCA,Estatal,Urbano,ADOLFO ALSINA 2499 BALVANERA,C1090,11,4951-8758,14/11/1950,3372,"$  67.440,00","$  67.440,00",3
Córdoba,140084300,ELENA LONGHI DE BUSTOS,Estatal,Rural,CALLE PUBLICA   EL PANTANO P/PEDANIA CAMINIAGA,X5244,3522,15648123,20/02/1983,2870,"$  57.400,00","$  63.140,00",10
Corrientes,180064600,ESCUELA PRIMARIA Nº 532 GENDARMERIA NACIONAL,Estatal,Rural,ANGUA 4ª SECCIÓN,W3420,3782,15483783,08/10/1977,2575,"$  51.500,00","$  56.650,00",5
Río Negro,620077500,CENTRO EDUCATIVO DE NIVEL SECUNDARIO NRO.19,Estatal,Urbano,NEUQUEN 262 SANTA CLARA ESC. 263,R8500,,02920 421794,24/02/1995,1909,"$  38.180,00","$  38.180,00",10
Tucumán,900060200,ESC. SECUNDARIA JOSE MARIANO GOMEZ,Estatal,Urbano,SAN MARTIN Y ALVAREZ CONDARCO  25 DE MAYO SAN MARTIN Y ALVAREZ CONDARCO,T4128,,4811151,14/10/1966,4401,"$  88.020,00","$  88.020,00",5
Formosa,340067500,EPES Nº 2 BATALLA DE MAIPU,Estatal,Urbano,AV. NESTOR KICHNER  CENTRO AV. NESTOR KICHNER Y SARMIENTO,P3606,370,4461002,29/01/1957,2057,"$  41.140,00","$  41.140,00",5
Buenos Aires,60034600,ESCUELA DE EDUCACIÓN PRIMARIA Nº6 MANUEL BELGRANO,Estatal,Rural,PONTAUT S/N,7406,2286,15-45-3601,05/04/1962,1597,"$  31.940,00","$  35.134,00",8
Buenos Aires,60174300,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 JOSÉ MANUEL ESTRADA,Estatal,Urbano,ALBERDI (E/ ARROLO Y BISCIOTI) 700,7635,2261,44-0063,26/05/1988,1737,"$  34.740,00","$  34.740,00",3
Mendoza,500085400,0-011 SUYAY,Estatal,Urbano,CATAMARCA 1600,M5539,261,4378386,15/02/1963,4776,"$  95.520,00","$  95.520,00",10
Buenos Aires,60428000,ESCUELA DE EDUCACIÓN PRIMARIA Nº34 MAXIMO LEDESMA,Estatal,Rural,CUARTEL IX S/N  LA BARRANCOSA,7260,2344,406759,28/02/1984,2511,"$  50.220,00","$  55.242,00",5
Córdoba,140063800,OLEGARIO RODRIGUEZ,Estatal,Rural,CALLE PUBLICA   LAS PALMAS,X5280,3549,15636176,01/12/1960,4213,"$  84.260,00","$  92.686,00",8
Buenos Aires,60204100,JARDÍN DE INFANTES SAN MAURICIO,Privado,Urbano,LUCIANO TORRENT Y VARSOBIA 1095,1759,2202,42-1225,08/06/1964,2573,"$  51.460,00","$  51.460,00",9
Mendoza,500015802,SUBOFICIAL HUGO ALBERTO LEPEZ,Estatal,Urbano,MIGUEL CANE,5541,261,4471687,23/09/1991,3539,"$  70.780,00","$  70.780,00",3
Córdoba,140060300,ESCUELA SAN MARTIN,Estatal,Urbano,DEAN FUNES 624 CENTRO SAMPACHO,X5829,3582,439907,22/11/1961,4153,"$  83.060,00","$  83.060,00",7
Mendoza,500083300,ALVAREZ CONDARCO,Estatal,Urbano,CALLE PUBLICA S/N  LOTE 94,M5624,,02625-491237 D,17/05/1984,4127,"$  82.540,00","$  82.540,00",7
Santa Fe,820454800,E.E.S. ORIENTADA NRO 599,Estatal,Urbano,AVENIDA PEÑALOZA  9500,S3000,342,4579107,28/01/1958,4069,"$  81.380,00","$  81.380,00",3
Chaco,220033801,JARDIN DE INFANTES Nº 80 MAGDALENA GUEMES DE TEJADA,Estatal,Rural,LOTE 14-(FUNCIONA EN EGB Nº 202),H3545,,,06/01/1969,2637,"$  52.740,00","$  58.014,00",10
Santa Fe,820011900,ESCUELA PART. INC. NRO 1030 SAN FRANCISCO DE ASIS,Privado,Urbano,AVENIDA PUCCIO 527 ALBERDI,S2000,341,4552148,11/01/1957,2490,"$  49.800,00","$  49.800,00",6
Chaco,220012900,E.E.P. Nº  152,Estatal,Rural,LOTE 9-PJE.PPA.LA PORTEÑA,H3718,3731,499757,27/07/1954,4106,"$  82.120,00","$  90.332,00",6
Córdoba,140060000,JOSE DE SAN MARTIN,Estatal,Rural,RUTA E 86   PUNTA DE AGUA P/ADELIA MARIA,X5839,358,156544749,07/12/1957,3069,"$  61.380,00","$  67.518,00",10
Santa Fe,820456300,JARDIN DE INFANTES NRO 323 HÉROES DE BELGRANO,Estatal,Urbano,ALMIRANTE BROWN 2782 ESTE,S3080,3496,420393,02/07/1954,2392,"$  47.840,00","$  47.840,00",10
Misiones,540033700,ESC. Nº 349: FRANCISCO RAMIREZ,Estatal,Urbano,R. NAC. N°14- KM 922    R. NAC. N°14- KM 922-PDA. TRIUNFO-,N3364,3755,15550405(sms)/691963(llamadas),21/03/1990,2151,"$  43.020,00","$  43.020,00",5
San Luis,740056300,ESC. N° 292 DIPUTADO ROBERTO PAEZ MONTERO,Estatal,Rural,LA CAÑADA,D5701,266,4452000,26/04/1962,1998,"$  39.960,00","$  43.956,00",4
Catamarca,100011500,ESCUELA N° 164,Estatal,Rural,PIPANACO,K5319,,,16/12/1963,2846,"$  56.920,00","$  62.612,00",3
Río Negro,620029200,INSTITUTO DE FORMACION DOCENTE CONTINUA,Estatal,Urbano,ISLAS MALVINAS Y ALEMANDRI,R8520,2934,430620,17/12/1992,4765,"$  95.300,00","$  95.300,00",5
Tucumán,900185300,COL. SANTA RITA,Privado,Urbano,AVDA. SANTO CRISTO Y LEOCADIO PAZ   INGENIO SAN JUAN ING. SAN JUAN,T4109,381,4378367,06/03/1970,2481,"$  49.620,00","$  49.620,00",8
Río Negro,620018500,ESCUELA PRIMARIA NRO.251 25 DE MAYO,Estatal,Urbano,ISLAS MALVINAS ARGENTINAS 465 25 DE MAYO EEBA 26 CENTRO 01  INST.SUP.NO UNIV.,R8532,2934,481083,04/03/1952,4083,"$  81.660,00","$  81.660,00",8
Santiago del Estero,860082200,ESCUELA N° 957 REMEDIOS ESCALADA DE SAN MARTIN,Estatal,Rural,LA RAMADA   LA RAMADA,G4301,,,02/12/1953,1562,"$  31.240,00","$  34.364,00",6
Tierra del Fuego,940002902,C.E.N.S. Nº 18 - ANEXO ESC. Nº 10,Estatal,Urbano,ANTARTIDA ARGENTINA 950 LOS LUPINOS,V9420,2964,425568,07/11/1986,1814,"$  36.280,00","$  36.280,00",4
Buenos Aires,60388200,JARDÍN DE INFANTES Nº902 MARIQUITA SANCHEZ DE THOMPSON,Estatal,Rural,SARMIENTO (E/ RIVADAVIA Y LIBERTAD) 542,6337,2394,49-0117,10/08/1972,2480,"$  49.600,00","$  54.560,00",10
Jujuy,380087400,J.I.N. 7,Estatal,Urbano,AV. LIBERTAD  CENTRO,4512,3886,430910,12/01/1967,1597,"$  31.940,00","$  31.940,00",9
Buenos Aires,60499900,ESCUELA DE EDUCACIÓN PRIMARIA Nº27 EVA DUARTE,Estatal,Urbano,BUENOS AIRES 1310  LOS NARANJOS,1864,2225,42-1871,06/06/1985,2299,"$  45.980,00","$  45.980,00",10
Buenos Aires,60106600,INSTITUTO SAGRADA FAMILIA,Privado,Urbano,PEDRO GOENAGA 775,1913,2221,45-2441,23/11/1968,2541,"$  50.820,00","$  50.820,00",7
Mendoza,500204600,ESCUELA Nº 2-047,Estatal,Urbano,COMANDANTE TORRES 1º PISO 150 CIUDAD HOSPITAL TEODORO SHESTAKOW,M5600,1,02627-423269,12/05/1964,3515,"$  70.300,00","$  70.300,00",10
Jujuy,380089201,J.I.N. 27,Estatal,Urbano,TEODORO SANCHEZ DE BUSTAMANTE   CENTRO,4518,3886,498043,08/10/1968,4530,"$  90.600,00","$  90.600,00",7
Santa Fe,820383200,CENTRO DE EDUCACION FISICA NRO 5 PROFESOR OSCAR GIANNONE,Estatal,Urbano,CHACABUCO 1397 MARTIN,S2000,341,4721369,12/03/1950,3745,"$  74.900,00","$  74.900,00",4
Santiago del Estero,860042000,ESCUELA N° 371,Estatal,Rural,LA RESERVA   LA RESERVA,G4220,,,12/11/1978,2535,"$  50.700,00","$  55.770,00",7
Tucumán,900205900,ESCUELA DE NIVEL INICIAL Nº 223 CABO 1º MENDEZ,Estatal,Urbano,SAN MARTIN  565 25 DE MAYO ACCESO NORTE,T4128,381,4816810,18/09/1974,4360,"$  87.200,00","$  87.200,00",10
Santa Fe,820216700,ESCUELA NRO 411 JUAN BAUTISTA ALBERDI,Estatal,Urbano,AMEGHINO 626 JOSE DHO,S3070,3408,422009,17/04/1980,2690,"$  53.800,00","$  53.800,00",7
Mendoza,500173000,JOSE MIGUEL GRANEROS,Estatal,Rural,LA FLORESTA MOYANO S/N,M5535,,4493153,18/09/1950,4733,"$  94.660,00","$  104.126,00",6
Mendoza,500280601,Jardin de Infantes Nucleado Nº 0-177 (1-116)),Estatal,Urbano,Salta 1050,5501,2614221643,1,18/07/1953,2239,"$  44.780,00","$  44.780,00",10
Santa Fe,820032200,ESCUELA NRO 1339 INGENIERO ENRIQUE MOSCONI,Estatal,Urbano,JOSE INGENIEROS 1850 FONAVI OESTE,S2200,3476,435466,18/03/1963,2260,"$  45.200,00","$  45.200,00",5
Mendoza,500245900,PROFESORA AURORA A. TORRES,Estatal,Rural,COSTA CANAL MONTECASEROS,M5579,263,154649545,14/07/1956,4916,"$  98.320,00","$  108.152,00",6
Buenos Aires,60049400,ESCUELA DE EDUCACIÓN PRIMARIA Nº37 DR. ADOLFO ALSINA,Estatal,Rural,COLONIA EL MATE S/N,6400,2392,674581,05/08/1994,1569,"$  31.380,00","$  34.518,00",4
Mendoza,500234200,LA CASA DEL RATON MIKEY,Social/cooperativa,Urbano,SAN JUAN,M5565,2622,490054,01/02/1994,4465,"$  89.300,00","$  89.300,00",9
Misiones,540183510,U.G.L. Nº 01 (Ext. Esc. Nº 367),Estatal,Urbano,Ruta Prov. Nº23-Pje.Campo Alegre,3366,3741,15406635,23/05/1969,4474,"$  89.480,00","$  89.480,00",10
Buenos Aires,60518000,ESCUELA DE EDUCACIÓN PRIMARIA Nº21 ALMIRANTE GUILLERMO BROWN,Estatal,Rural,HEROES DE MALVINAS S/N  BATERIAS,8113,2932,43-3543,26/09/1989,2353,"$  47.060,00","$  51.766,00",6
Misiones,540103400,ESC. ADULTOS Nº 13,Estatal,Urbano,AVDA. LOS PIONEROS 645 VILLA FALK AVDA. LOS PIONEROS 645 Y 9 DE JULIO-( ESC. 284),N3328,3743,415419,03/03/1979,1812,"$  36.240,00","$  36.240,00",8
Santa Fe,820377900,ESCUELA PART. INC. NRO 1425 NUESTRA SEÑORA DE LA PAZ,Privado,Urbano,AVENIDA ARGENTINA 520 PUEBLO NUEVO,S2124,341,4921347,15/06/1956,1549,"$  30.980,00","$  30.980,00",7
Córdoba,140086100,INST. SUP. DE FORM. DOCENTE SAN JOSE,Privado,Urbano,RIVADAVIA 245 CENTRO LABOULAYE,X6120,3385,427300,25/04/1950,4709,"$  94.180,00","$  94.180,00",8
Buenos Aires,60199402,ANEXO Nº1 DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº1,Estatal,Rural,RUTA PROVINCIAL 62 KM. 21 S/N,7119,2268,49-0209,28/09/1970,4939,"$  98.780,00","$  108.658,00",4
Santa Fe,820284500,JARDIN DE INFANTES NRO 168 ANTONIO BERNI,Estatal,Urbano,AVENIDA DOCTOR VICENTE PACIELLO 1161,S2148,3401,498260,02/11/1963,3210,"$  64.200,00","$  64.200,00",8
Ciudad de Buenos Aires,20009800,INSTITUTO EDUCACIONAL DUAYEN,Privado,Urbano,BALLIVIAN 2230 VILLA ORTUZAR 2236,C1431,11,4521-6023,19/04/1973,3770,"$  75.400,00","$  75.400,00",7
Santa Fe,820459500,E.E.M.P.A NRO 1334,Estatal,Rural,ESTANISLAO LOPEZ S/N,S3551,3482,490341,28/05/1986,1841,"$  36.820,00","$  40.502,00",5
Tucumán,900020500,ESC. N° 178 - RICARDO BENJAMIN ROMERO,Estatal,Rural,LOS GRAMAJOS,T4159,0,3865 - 623421,17/03/1958,3243,"$  64.860,00","$  71.346,00",8
Buenos Aires,60098100,ESCUELA RAMON LISTA,Privado,Urbano,IBERA 5382,1759,2202,42-4328,14/06/1961,4377,"$  87.540,00","$  87.540,00",7
Río Negro,620049706,CENTRO DE EDUCACION BASICA PARA ADULTOS NRO. 7,Estatal,Urbano,VINTER 850 PADRE A.STEFENELLI CEM 107,R8332,,,25/06/1992,4230,"$  84.600,00","$  84.600,00",8
Buenos Aires,60332000,ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1 EZEQUIEL MARTINEZ ESTRADA,Estatal,Rural,AVDA. EL PAREDON 1515,8175,2923,49-1209,23/01/1964,2063,"$  41.260,00","$  45.386,00",10
Entre Ríos,300100700,DR. BERNARDO HOUSSAY 16,Estatal,Rural,RUTA PPROV.20   DISTRITO FRANCISCO RAMIREZ-PARAJE ARROYO LAS TUNAS,E3180,,,22/09/1985,3467,"$  69.340,00","$  76.274,00",7
Salta,660012200,SAN LEONARDO MURIALDO EX N° 1034,Estatal,Urbano,EX-COMBATIENTES DE MALVINAS 166 JUAN D.PERON,A4190,3876,482089,11/08/1954,3772,"$  75.440,00","$  75.440,00",7
Mendoza,500117000,CERRO ACONCAGUA,Estatal,Urbano,LAGUNA DE GUANACACHE 1570 OBRAS SANITARIAS,M5501,1,4395116,30/08/1980,2595,"$  51.900,00","$  51.900,00",10
Ciudad de Buenos Aires,20016600,CAPITAN JUAN DE SAN MARTIN Y GOMEZ,Estatal,Urbano,NOGOYA 2557 VILLA DEL PARQUE,C1417,11,4501-1166,16/10/1960,2495,"$  49.900,00","$  49.900,00",7
Santa Fe,820186600,ESCUELA NRO 9 JUAN JOSE PASO,Estatal,Urbano,SAN MARTIN 3459 RECOLETA,S3000,342,4572975*2975,30/06/1954,4826,"$  96.520,00","$  96.520,00",5
Jujuy,380090401,J.I.N. 28,Estatal,Urbano,SAN MARTIN 1272 CENTRO,4600,388,4228530,31/03/1966,3674,"$  73.480,00","$  73.480,00",3
Buenos Aires,60481100,ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 CESÁREO NAREDO,Estatal,Rural,26 DE JULIO E/ ETCHEVERRY Y HERNANDEZ S/N,6439,2929,49-3055,21/08/1986,2484,"$  49.680,00","$  54.648,00",9
Santiago del Estero,860080700,ESCUELA N° 929,Estatal,Rural,TUSCA POZO   TUSCA POZO,G4353,,,02/06/1993,1915,"$  38.300,00","$  42.130,00",7
San Luis,740047500,ESC. N° 31 MARIANO MORENO,Estatal,Urbano,LAVALLE 339 CENTRO,D5730,,02657-421975,15/02/1991,4909,"$  98.180,00","$  98.180,00",4
Buenos Aires,60190100,ESCUELA DE EDUCACIÓN PRIMARIA Nº5 DOMINGO FAUSTINO SARMIENTO,Estatal,Urbano,AMENEDO Y DE MARIA 1281,1846,11,4294-2183,30/10/1976,3427,"$  68.540,00","$  68.540,00",4
Neuquén,580064400,ESCUELA PRIMARIA  51 ALBERGUE,Estatal,Rural,SIN NOMBRE   A 800 mts de Ruta Provincial 23,8373,2972,490630/4495200 INT 1177/02972-490630,19/11/1958,3976,"$  79.520,00","$  87.472,00",8
Buenos Aires,60497200,JARDÍN DE INFANTES Nº907 MERCEDES DE SAN MARTIN,Estatal,Urbano,LAS HERAS ESQ. CHICLANA 41,8118,291,491-8037,05/08/1986,3596,"$  71.920,00","$  71.920,00",9
Formosa,340057300,EPEP Nº414,Estatal,Rural,LOTE 1,P3636,,,10/10/1995,2252,"$  45.040,00","$  49.544,00",3
Jujuy,380098701,INSTITUTO DE EDUCACION PRIMARIA 17 DE SETIEMBRE - CEDEMS,Social/cooperativa,Urbano,AV. FASCIO 934 CENTRO,4600,388,4244433,24/03/1956,3930,"$  78.600,00","$  78.600,00",6
Santiago del Estero,860158300,BIG BEN SCHOOL,Privado,Urbano,TUCUMAN 367 CENTRO,G4200,385,4214723,10/07/1983,3018,"$  60.360,00","$  60.360,00",6
Tucumán,900047300,ESC. MAESTRO MARIO ENRIQUE CASELLA,Estatal,Rural,MADRID S/N  GAMBARTE MADRID S/N - INGENIO SANTA BARBARA,T4157,,,12/01/1979,1677,"$  33.540,00","$  36.894,00",7
Santiago del Estero,860110800,ESCUELA TECNICA N° 6 COMANDANTE MANUEL BESARES,Estatal,Urbano,Av. Bolivia  198 Banfield Entre calles Ramón Chávez y Dorrego,G4300,385,4272246,19/01/1971,1611,"$  32.220,00","$  32.220,00",7
Mendoza,500047600,FUNDACION NAZARET,Privado,Urbano,LIBERTAD 575,M5600,,0260-4023916,02/05/1956,2874,"$  57.480,00","$  57.480,00",10
Misiones,540145700,ESC. ADULTOS Nº 45,Estatal,Rural,Av. Sarmiento  Centro Frente a la Municipalidad,3351,376,154510769,07/11/1973,2699,"$  53.980,00","$  59.378,00",5
Santiago del Estero,860162300,ESCUELA PARA ADULTOS Nº3 ANTARTIDA ARGENTINA,Estatal,Urbano,Calle 3  Ampliacion 1º de Mayo LA BANDA,G4300,,,18/09/1965,4371,"$  87.420,00","$  87.420,00",7
Buenos Aires,60337600,COLEGIO SAN JOSE,Privado,Urbano,ALEM E/ TEDIN Y PRIMERA JUNTA 588,6000,2362,42-4580,14/01/1985,2271,"$  45.420,00","$  45.420,00",8
La Rioja,460026700,ESC.N°197 CABO PRINC.JULIO CESAR FUENTES,Estatal,Rural,LA CAÑADA,F5380,,,07/05/1995,3072,"$  61.440,00","$  67.584,00",3
San Luis,740017900,ESC. N° 196 MAESTRA MARIA MITCHELL DE RAMIREZ,Estatal,Rural,EL CALDEN,D5713,,,11/09/1950,2306,"$  46.120,00","$  50.732,00",6
Corrientes,180028700,ESCUELA Nº 202 JOSE LUIS NAVAJAS,Estatal,Urbano,JULIO A.ROCA Y MANUEL OCAMPO,W3342,1,1,28/04/1962,4886,"$  97.720,00","$  97.720,00",7
San Juan,700103601,JINZ N°4 JUAN IGNACIO GORRITI,Estatal,Rural,RUTA 20 KM 910,,,,21/12/1959,3459,"$  69.180,00","$  76.098,00",7
Buenos Aires,60036700,ESCUELA DE EDUCACIÓN PRIMARIA Nº33 NICOLAS MARINO,Estatal,Urbano,12 E/ 5 Y 7 380,8148,2928,42-1168,04/02/1953,4139,"$  82.780,00","$  82.780,00",6
Misiones,540142300,NENI Nº 02 (Sede ESC. Nº 03),Estatal,Urbano,SANTA FE 434 CENTRO SANTA FE Y BUENOS AIRES,N3300,376,154223334/4616130,07/08/1965,2069,"$  41.380,00","$  41.380,00",3
Río Negro,620012900,ESCUELA PRIMARIA NRO.337 “VALLE NUEVO”,Estatal,Urbano,DE LOS NIÑOS S/N USINA CTRO.02 EEBA 11,R8430,294,4493274,02/07/1951,3346,"$  66.920,00","$  66.920,00",9
Formosa,340056800,EPEP Nº419,Estatal,Rural,CAMPO DEL HACHA,P3636,,,14/04/1958,2013,"$  40.260,00","$  44.286,00",4
Buenos Aires,60126400,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 MARIANO RONDEAU,Estatal,Rural,S/N  LA PALMA,6667,2345,513522,11/02/1992,2104,"$  42.080,00","$  46.288,00",3
San Luis,740062600,CENTRO DE EDUCACION ESPECIAL MIRLO,Privado,Urbano,LAS ARTES S/N CENTRO,D5701,,476908,18/11/1980,3707,"$  74.140,00","$  74.140,00",10
Santiago del Estero,860167600,CENTRO DE EDUCACION BASICA DE ADULTOS N° 071,Estatal,Urbano,2ª PASAJE  LA VIOLETAS LA VIOLETAS,G4230,,,25/06/1954,3632,"$  72.640,00","$  72.640,00",4
Mendoza,500254000,PROGRAMA BUENA COSECHA EL CEPILLO,Social/cooperativa,Rural,el cepillo,,2622,405789,20/05/1950,2081,"$  41.620,00","$  45.782,00",9
